"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2005,233,2005,472,2005,2237,2005,440,2005,17035,2005,10418,2005,14616,2005,7747,2005,68,2005,206,2005,274,2005,142,2005,0,2005,0,2005,18,2005,15823,2005,0,2005,0,2005,6565,2005,61183,2005,26307,2005,29701,2005,93110,2005,57124
2004,203,2004,403,2004,1945,2004,384,2004,25115,2004,9999,2004,15420,2004,7395,2004,63,2004,190,2004,224,2004,173,2004,0,2004,0,2004,19,2004,8137,2004,0,2004,0,2004,6871,2004,56683,2004,28044,2004,40481,2004,84287,2004,52756
2003,187,2003,356,2003,1776,2003,354,2003,26801,2003,10886,2003,14031,2003,8248,2003,38,2003,163,2003,199,2003,203,2003,0,2003,0,2003,27,2003,9900,2003,0,2003,0,2003,6164,2003,51148,2003,27109,2003,38933,2003,81115,2003,43900
2002,144,2002,261,2002,1352,2002,272,2002,16897,2002,8902,2002,16981,2002,8231,2002,40,2002,167,2002,210,2002,226,2002,0,2002,0,2002,3,2002,9215,2002,0,2002,0,2002,0,2002,43001,2002,20982,2002,37392,2002,70663,2002,46271
2001,132,2001,240,2001,1241,2001,250,2001,12229,2001,7259,2001,16139,2001,8593,2001,42,2001,170,2001,219,2001,257,2001,0,2001,0,2001,3,2001,9269,2001,0,2001,0,2001,0,2001,36168,2001,20844,2001,40329,2001,76555,2001,54413
2000,118,2000,226,2000,1154,2000,235,2000,17674,2000,10866,2000,14564,2000,9501,2000,44,2000,187,2000,229,2000,288,2000,0,2000,0,2000,0,2000,7391,2000,0,2000,0,2000,0,2000,31616,2000,36049,2000,58184,2000,94559,2000,54396
1999,118,1999,226,1999,1154,1999,235,1999,14564,1999,9966,1999,14913,1999,12056,1999,47,1999,203,1999,251,1999,323,1999,0,1999,0,1999,0,1999,4967,1999,0,1999,0,1999,0,1999,27340,1999,35947,1999,54773,1999,91627,1999,50496
1998,104,1998,215,1998,1044,1998,208,1998,17740,1998,10500,1998,14246,1998,9734,1998,49,1998,213,1998,262,1998,345,1998,0,1998,0,1998,0,1998,1497,1998,0,1998,0,1998,0,1998,17869,1998,34558,1998,55485,1998,90401,1998,50864
1997,100,1997,162,1997,962,1997,201,1997,16222,1997,10537,1997,17489,1997,10567,1997,51,1997,220,1997,262,1997,359,1997,0,1997,0,1997,0,1997,551,1997,0,1997,0,1997,0,1997,16197,1997,36547,1997,61397,1997,95028,1997,55636
1996,94,1996,145,1996,893,1996,188,1996,25410,1996,12290,1996,18442,1996,12275,1996,51,1996,222,1996,266,1996,370,1996,0,1996,0,1996,0,1996,516,1996,0,1996,0,1996,0,1996,10014,1996,40451,1996,65776,1996,102854,1996,57149
1995,89,1995,112,1995,820,1995,177,1995,14870,1995,8958,1995,16470,1995,11324,1995,51,1995,223,1995,267,1995,375,1995,0,1995,0,1995,0,1995,588,1995,0,1995,0,1995,0,1995,7428,1995,36801,1995,63255,1995,88158,1995,56204
1994,83,1994,96,1994,758,1994,166,1994,20730,1994,9676,1994,17127,1994,11747,1994,51,1994,218,1994,256,1994,342,1994,0,1994,0,1994,0,1994,408,1994,0,1994,0,1994,0,1994,5993,1994,32125,1994,63487,1994,84316,1994,53450
1993,90,1993,75,1993,720,1993,180,1993,17095,1993,9096,1993,18163,1993,11864,1993,49,1993,204,1993,226,1993,342,1993,0,1993,0,1993,0,1993,2,1993,0,1993,0,1993,0,1993,5574,1993,32028,1993,60375,1993,81366,1993,52142
1992,85,1992,57,1992,677,1992,169,1992,18871,1992,10454,1992,18432,1992,10988,1992,45,1992,200,1992,226,1992,344,1992,0,1992,0,1992,0,1992,1,1992,0,1992,0,1992,0,1992,5152,1992,27672,1992,57721,1992,89142,1992,52848
1991,78,1991,39,1991,628,1991,157,1991,14686,1991,11635,1991,18280,1991,10823,1991,41,1991,196,1991,226,1991,341,1991,0,1991,0,1991,0,1991,2,1991,0,1991,0,1991,0,1991,2512,1991,26869,1991,54712,1991,86227,1991,49408
1990,72,1990,20,1990,579,1990,145,1990,23913,1990,12995,1990,16934,1990,8915,1990,41,1990,193,1990,226,1990,338,1990,0,1990,0,1990,0,1990,3,1990,0,1990,0,1990,0,1990,1631,1990,26519,1990,52055,1990,80247,1990,48848
1989,65,1989,1,1989,522,1989,131,1989,18548,1989,4212,1989,7818,1989,8519,1989,40,1989,184,1989,220,1989,330,1989,0,1989,0,1989,0,1989,3,1989,0,1989,0,1989,0,1989,1637,1989,36827,1989,62436,1989,103262,1989,52922
1988,0,1988,0,1988,0,1988,0,1988,13705,1988,2190,1988,6191,1988,6988,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,2,1988,0,1988,0,1988,0,1988,389,1988,32536,1988,59645,1988,112163,1988,52831
1987,0,1987,0,1987,0,1987,0,1987,16796,1987,3228,1987,5010,1987,9015,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,390,1987,30957,1987,57049,1987,107069,1987,49508
1986,0,1986,0,1986,0,1986,0,1986,19597,1986,4095,1986,7527,1986,11289,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,392,1986,35048,1986,65546,1986,105598,1986,52157
1985,0,1985,0,1985,0,1985,0,1985,15919,1985,2740,1985,10416,1985,10169,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,39228,1985,62713,1985,100223,1985,56303
1984,0,1984,0,1984,0,1984,0,1984,21113,1984,3098,1984,11181,1984,10138,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,38973,1984,61934,1984,99089,1984,55862
1983,0,1983,0,1983,0,1983,0,1983,18573,1983,2920,1983,12934,1983,11292,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,33511,1983,75676,1983,104842,1983,51359
1982,0,1982,0,1982,0,1982,0,1982,14018,1982,2632,1982,12655,1982,10518,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,37580,1982,64008,1982,94768,1982,48412
1981,0,1981,0,1981,0,1981,0,1981,14902,1981,4496,1981,12963,1981,9808,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,30470,1981,68668,1981,95268,1981,46784
1980,0,1980,0,1980,0,1980,0,1980,13189,1980,1642,1980,12464,1980,8169,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,32634,1980,70853,1980,90575,1980,46625
1979,0,1979,0,1979,0,1979,0,1979,22684,1979,4537,1979,13524,1979,9493,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,43645,1979,69761,1979,60353,1979,44454
1978,0,1978,0,1978,0,1978,0,1978,17981,1978,2215,1978,11243,1978,11205,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,41272,1978,65463,1978,55027,1978,39033
1977,0,1977,0,1977,0,1977,0,1977,21053,1977,4408,1977,9716,1977,6991,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,38515,1977,58949,1977,45003,1977,29734
1976,0,1976,0,1976,0,1976,0,1976,21663,1976,5084,1976,10890,1976,6095,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,34710,1976,55418,1976,41591,1976,29536
1975,0,1975,0,1975,0,1975,0,1975,24049,1975,4342,1975,11553,1975,9539,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,31785,1975,48983,1975,35906,1975,27410
1974,0,1974,0,1974,0,1974,0,1974,20562,1974,4465,1974,12347,1974,9586,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,31819,1974,52494,1974,38241,1974,26312
1973,0,1973,0,1973,0,1973,0,1973,22490,1973,5820,1973,10947,1973,10977,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,32570,1973,50682,1973,36277,1973,25474
1972,0,1972,0,1972,0,1972,0,1972,23688,1972,8918,1972,18608,1972,10810,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,32430,1972,50384,1972,37595,1972,24886
1971,0,1971,0,1971,0,1971,0,1971,18576,1971,7395,1971,18613,1971,10265,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,30687,1971,53852,1971,35346,1971,23503
1970,0,1970,0,1970,0,1970,0,1970,20009,1970,7904,1970,17878,1970,9379,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,31772,1970,57139,1970,36432,1970,23443
1969,0,1969,0,1969,0,1969,0,1969,14193,1969,9202,1969,19758,1969,10492,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,31321,1969,55409,1969,36866,1969,23698
1968,0,1968,0,1968,0,1968,0,1968,16728,1968,8140,1968,19887,1968,10467,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,31024,1968,53961,1968,36433,1968,23361
1967,0,1967,0,1967,0,1967,0,1967,20060,1967,8337,1967,20555,1967,9000,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,29439,1967,49846,1967,35984,1967,23386
1966,0,1966,0,1966,0,1966,0,1966,13767,1966,8368,1966,18954,1966,12348,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,28335,1966,49749,1966,37874,1966,22682
1965,0,1965,0,1965,0,1965,0,1965,11925,1965,6938,1965,18954,1965,11420,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,27094,1965,48698,1965,36904,1965,23366
1964,0,1964,0,1964,0,1964,0,1964,11633,1964,7011,1964,16169,1964,9884,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,25807,1964,47137,1964,36600,1964,23326
1963,0,1963,0,1963,0,1963,0,1963,10175,1963,7424,1963,14353,1963,8817,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,25283,1963,45338,1963,37021,1963,23511
1962,0,1962,0,1962,0,1962,0,1962,12124,1962,8352,1962,17996,1962,10199,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,23878,1962,45238,1962,35748,1962,24183
1961,0,1961,0,1961,0,1961,0,1961,12132,1961,8664,1961,19038,1961,7852,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,23591,1961,44105,1961,36172,1961,24626
1960,0,1960,0,1960,0,1960,0,1960,14609,1960,10570,1960,21839,1960,9542,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,23838,1960,42784,1960,37260,1960,25415
