"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1993,155587,1993,414,1993,0,1993,68,1993,417437,1993,19709,1993,4275,1993,0,1993,24615,1993,188,1993,78,1993,29,1993,30758,1993,0,1993,0,1993,0,1993,686,1993,189,1993,0,1993,0,1993,191699,1993,11118,1993,34758,1993,2395
1992,154136,1992,412,1992,0,1992,64,1992,208571,1992,15504,1992,4382,1992,0,1992,23578,1992,181,1992,74,1992,29,1992,29619,1992,0,1992,0,1992,0,1992,651,1992,174,1992,0,1992,0,1992,225736,1992,11507,1992,34470,1992,1691
1991,155529,1991,408,1991,0,1991,60,1991,229144,1991,18725,1991,4522,1991,0,1991,23797,1991,167,1991,71,1991,29,1991,30416,1991,0,1991,0,1991,0,1991,618,1991,195,1991,0,1991,0,1991,214009,1991,12395,1991,30303,1991,1645
1990,152147,1990,405,1990,0,1990,55,1990,247490,1990,14769,1990,5936,1990,0,1990,22038,1990,154,1990,66,1990,29,1990,28698,1990,0,1990,0,1990,0,1990,529,1990,167,1990,0,1990,0,1990,218424,1990,10907,1990,28711,1990,1569
1989,143657,1989,400,1989,0,1989,50,1989,321318,1989,18280,1989,4607,1989,0,1989,19705,1989,142,1989,64,1989,28,1989,21685,1989,0,1989,0,1989,0,1989,631,1989,199,1989,0,1989,0,1989,231921,1989,11254,1989,31371,1989,2438
1988,104372,1988,0,1988,0,1988,0,1988,242347,1988,18019,1988,3411,1988,0,1988,93,1988,0,1988,0,1988,0,1988,6,1988,0,1988,0,1988,0,1988,670,1988,212,1988,0,1988,0,1988,164612,1988,14108,1988,30997,1988,2310
1987,110429,1987,0,1987,0,1987,0,1987,255937,1987,18947,1987,3578,1987,0,1987,109,1987,0,1987,0,1987,0,1987,38,1987,0,1987,0,1987,0,1987,668,1987,211,1987,0,1987,0,1987,155492,1987,13210,1987,27231,1987,2162
1986,105701,1986,0,1986,0,1986,0,1986,433077,1986,23645,1986,3899,1986,0,1986,147,1986,0,1986,0,1986,0,1986,28,1986,0,1986,0,1986,0,1986,611,1986,193,1986,0,1986,0,1986,127418,1986,20031,1986,31612,1986,2765
1985,96080,1985,0,1985,0,1985,0,1985,331348,1985,24629,1985,2760,1985,0,1985,111,1985,0,1985,0,1985,0,1985,28,1985,0,1985,0,1985,0,1985,578,1985,183,1985,0,1985,0,1985,165344,1985,16950,1985,37522,1985,3019
1984,80195,1984,0,1984,0,1984,0,1984,450580,1984,22648,1984,3941,1984,0,1984,55,1984,0,1984,0,1984,0,1984,37,1984,0,1984,0,1984,0,1984,0,1984,170,1984,0,1984,0,1984,162747,1984,16472,1984,37129,1984,2927
