"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2005,627,2005,396,2005,467,2005,1531,2005,257799,2005,53960,2005,13417,2005,5157,2005,849,2005,116,2005,2,2005,160,2005,1030,2005,0,2005,2203,2005,133,2005,0,2005,0,2005,4399,2005,230,2005,105236,2005,90804,2005,2912,2005,47285
2004,538,2004,346,2004,403,2004,1328,2004,240280,2004,54439,2004,15483,2004,7310,2004,680,2004,89,2004,1,2004,148,2004,1166,2004,0,2004,2149,2004,0,2004,0,2004,0,2004,4604,2004,0,2004,116214,2004,84922,2004,3283,2004,42482
2003,481,2003,319,2003,363,2003,1207,2003,245720,2003,72910,2003,17455,2003,5172,2003,585,2003,85,2003,1,2003,130,2003,417,2003,0,2003,596,2003,0,2003,0,2003,0,2003,5049,2003,0,2003,110169,2003,108238,2003,2695,2003,41460
2002,358,2002,245,2002,272,2002,915,2002,254812,2002,35525,2002,16202,2002,4968,2002,570,2002,100,2002,1,2002,119,2002,830,2002,0,2002,0,2002,0,2002,0,2002,0,2002,4287,2002,0,2002,107391,2002,89356,2002,2644,2002,32153
2001,329,2001,225,2001,250,2001,840,2001,238527,2001,26821,2001,13764,2001,5278,2001,555,2001,111,2001,1,2001,100,2001,212,2001,0,2001,0,2001,0,2001,0,2001,0,2001,3131,2001,0,2001,111126,2001,100190,2001,3516,2001,44883
2000,310,2000,200,2000,225,2000,778,2000,254103,2000,32009,2000,21652,2000,5948,2000,553,2000,127,2000,1,2000,100,2000,106,2000,0,2000,0,2000,0,2000,0,2000,0,2000,2841,2000,0,2000,174136,2000,103898,2000,2549,2000,72506
1999,310,1999,200,1999,225,1999,778,1999,253117,1999,37674,1999,26681,1999,4326,1999,559,1999,142,1999,1,1999,99,1999,0,1999,0,1999,0,1999,0,1999,0,1999,0,1999,2353,1999,0,1999,165159,1999,101715,1999,2347,1999,69146
1998,296,1998,177,1998,212,1998,712,1998,298933,1998,58512,1998,23412,1998,4144,1998,553,1998,152,1998,1,1998,85,1998,0,1998,0,1998,0,1998,0,1998,0,1998,0,1998,2523,1998,0,1998,159030,1998,100786,1998,2222,1998,62269
1997,236,1997,171,1997,181,1997,642,1997,312702,1997,57457,1997,33903,1997,5182,1997,538,1997,156,1997,1,1997,54,1997,0,1997,0,1997,0,1997,0,1997,0,1997,0,1997,2128,1997,0,1997,177683,1997,107035,1997,2253,1997,68311
1996,213,1996,160,1996,165,1996,593,1996,299356,1996,61546,1996,32580,1996,4109,1996,514,1996,164,1996,1,1996,37,1996,0,1996,0,1996,0,1996,0,1996,0,1996,0,1996,1197,1996,0,1996,139207,1996,109502,1996,2417,1996,74217
1995,174,1995,151,1995,143,1995,536,1995,268042,1995,56931,1995,25341,1995,2395,1995,451,1995,162,1995,0,1995,34,1995,0,1995,0,1995,0,1995,0,1995,0,1995,0,1995,2896,1995,3970,1995,122599,1995,111468,1995,2605,1995,65285
1994,154,1994,141,1994,129,1994,493,1994,286695,1994,74196,1994,19151,1994,1978,1994,397,1994,164,1994,0,1994,30,1994,0,1994,0,1994,0,1994,0,1994,0,1994,0,1994,2992,1994,8434,1994,121991,1994,112306,1994,2308,1994,69012
1993,137,1993,153,1993,126,1993,432,1993,303531,1993,51412,1993,14588,1993,1955,1993,337,1993,164,1993,0,1993,27,1993,0,1993,0,1993,0,1993,0,1993,0,1993,0,1993,2791,1993,7184,1993,117294,1993,105578,1993,1817,1993,44170
1992,117,1992,144,1992,112,1992,406,1992,290162,1992,59657,1992,17570,1992,2618,1992,314,1992,163,1992,0,1992,23,1992,0,1992,0,1992,0,1992,0,1992,0,1992,0,1992,2444,1992,6605,1992,104515,1992,99734,1992,2120,1992,66658
1991,95,1991,134,1991,97,1991,377,1991,283568,1991,61052,1991,18333,1991,1609,1991,292,1991,162,1991,0,1991,19,1991,0,1991,0,1991,0,1991,0,1991,0,1991,0,1991,2747,1991,7422,1991,95097,1991,75935,1991,2029,1991,70779
1990,73,1990,123,1990,82,1990,347,1990,293214,1990,70936,1990,17799,1990,1887,1990,276,1990,161,1990,0,1990,19,1990,0,1990,0,1990,0,1990,0,1990,0,1990,0,1990,2349,1990,6348,1990,97387,1990,97501,1990,1939,1990,66113
1989,50,1989,111,1989,65,1989,314,1989,258900,1989,72984,1989,19748,1989,1354,1989,259,1989,156,1989,0,1989,18,1989,0,1989,0,1989,0,1989,0,1989,0,1989,0,1989,2805,1989,7579,1989,119813,1989,94410,1989,2770,1989,97440
1988,0,1988,0,1988,0,1988,0,1988,249157,1988,29871,1988,19447,1988,1929,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,2976,1988,8042,1988,116471,1988,85442,1988,2708,1988,117693
