"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1995,521,1995,331,1995,726,1995,187,1995,113322,1995,1278,1995,4818,1995,10343,1995,2,1995,105,1995,25,1995,9,1995,0,1995,0,1995,0,1995,1,1995,828,1995,66903,1995,9730,1995,61754,1995,25235,1995,52191,1995,37204,1995,40825
1994,535,1994,310,1994,670,1994,167,1994,81663,1994,1244,1994,4197,1994,11049,1994,2,1994,86,1994,24,1994,9,1994,0,1994,0,1994,0,1994,1,1994,877,1994,69836,1994,10188,1994,61972,1994,23622,1994,51009,1994,36335,1994,40818
1993,535,1993,336,1993,624,1993,78,1993,100157,1993,1342,1993,4623,1993,7703,1993,2,1993,70,1993,20,1993,9,1993,0,1993,0,1993,0,1993,0,1993,720,1993,66004,1993,9177,1993,55011,1993,24811,1993,53276,1993,38098,1993,43480
1992,535,1992,316,1992,587,1992,73,1992,68815,1992,1441,1992,5817,1992,10339,1992,2,1992,61,1992,16,1992,9,1992,0,1992,0,1992,0,1992,0,1992,717,1992,60682,1992,8437,1992,44163,1992,25063,1992,71921,1992,46995,1992,45655
1991,535,1991,293,1991,544,1991,68,1991,91266,1991,1403,1991,4164,1991,9404,1991,2,1991,54,1991,13,1991,9,1991,0,1991,0,1991,0,1991,0,1991,805,1991,53189,1991,9481,1991,35090,1991,23412,1991,71166,1991,46791,1991,47348
1990,536,1990,270,1990,502,1990,63,1990,94814,1990,1497,1990,4588,1990,9103,1990,2,1990,53,1990,13,1990,9,1990,0,1990,0,1990,0,1990,0,1990,689,1990,45495,1990,8110,1990,31510,1990,23469,1990,69634,1990,46888,1990,47818
1989,536,1989,244,1989,453,1989,57,1989,97532,1989,1038,1989,4697,1989,7009,1989,2,1989,49,1989,12,1989,9,1989,0,1989,0,1989,0,1989,0,1989,822,1989,54316,1989,9682,1989,31619,1989,25759,1989,93469,1989,54394,1989,52636
1988,0,1988,0,1988,0,1988,0,1988,69638,1988,671,1988,4553,1988,7218,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,873,1988,57635,1988,10274,1988,26133,1988,17002,1988,121721,1988,65495,1988,89205
1987,0,1987,0,1987,0,1987,0,1987,84444,1987,1116,1987,5279,1987,10115,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,870,1987,57458,1987,10242,1987,26227,1987,16407,1987,113289,1987,61086,1987,82412
1986,0,1986,0,1986,0,1986,0,1986,126946,1986,1477,1986,5285,1986,9953,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,796,1986,52562,1986,9370,1986,18801,1986,18885,1986,106422,1986,57426,1986,78644
1985,0,1985,0,1985,0,1985,0,1985,113491,1985,1422,1985,4451,1985,10334,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,753,1985,49730,1985,8865,1985,10189,1985,18265,1985,99245,1985,56665,1985,58132
