"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1984,0,1984,0,1984,0,1984,0,1984,58602,1984,13105,1984,-2570,1984,979,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,1654,1984,4456,1984,21898,1984,51387,1984,7699
1983,0,1983,0,1983,0,1983,0,1983,43064,1983,14234,1983,-2394,1983,933,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,1385,1983,4128,1983,23974,1983,62702,1983,7420
1982,0,1982,0,1982,0,1982,0,1982,14850,1982,13064,1982,-2321,1982,821,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,737,1982,3860,1982,20695,1982,51533,1982,6867
1981,0,1981,0,1981,0,1981,0,1981,18072,1981,14231,1981,-2413,1981,920,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,221,1981,3722,1981,21836,1981,56822,1981,6710
1980,0,1980,0,1980,0,1980,0,1980,24643,1980,10666,1980,-2934,1980,977,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,2760,1980,21716,1980,51317,1980,5245
1979,0,1979,0,1979,0,1979,0,1979,17771,1979,12544,1979,-2933,1979,702,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,2033,1979,21005,1979,46034,1979,9220
1978,0,1978,0,1978,0,1978,0,1978,17263,1978,11718,1978,-1797,1978,312,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,1718,1978,19286,1978,43459,1978,7677
1977,0,1977,0,1977,0,1977,0,1977,16874,1977,14652,1977,-1744,1977,291,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,1507,1977,16619,1977,40254,1977,7036
1976,0,1976,0,1976,0,1976,0,1976,16125,1976,15718,1976,-2546,1976,790,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,1332,1976,15332,1976,37637,1976,5991
1975,0,1975,0,1975,0,1975,0,1975,17583,1975,13013,1975,-2834,1975,660,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,1244,1975,12840,1975,33783,1975,5343
