Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1987,0,1987,0,1987,0,1987,0,1987,77855,1987,9080,1987,105592,1987,25080,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,151718,1987,2920,1987,17521,1987,61608
1986,0,1986,0,1986,0,1986,0,1986,54848,1986,8448,1986,151060,1986,29390,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,158967,1986,2258,1986,24043,1986,61844
1985,0,1985,0,1985,0,1985,0,1985,71935,1985,7816,1985,146123,1985,46323,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,175418,1985,3967,1985,25558,1985,62863
1984,0,1984,0,1984,0,1984,0,1984,112730,1984,7235,1984,163692,1984,28429,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,175126,1984,3917,1984,25139,1984,62992
1983,0,1983,0,1983,0,1983,0,1983,117458,1983,6243,1983,152355,1983,34872,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,164483,1983,3348,1983,23637,1983,60438
1982,0,1982,0,1982,0,1982,0,1982,112184,1982,5870,1982,73334,1982,22019,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,153269,1982,2875,1982,21593,1982,55563
1981,0,1981,0,1981,0,1981,0,1981,63113,1981,6171,1981,71114,1981,12913,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,150242,1981,3046,1981,21451,1981,55277
1980,0,1980,0,1980,0,1980,0,1980,97733,1980,5599,1980,102171,1980,17606,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,141033,1980,2723,1980,17835,1980,52390
1979,0,1979,0,1979,0,1979,0,1979,122863,1979,4747,1979,75123,1979,34940,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,67874,1979,5986,1979,8291,1979,45832
1978,0,1978,0,1978,0,1978,0,1978,81781,1978,4889,1978,72741,1978,25086,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,66560,1978,5920,1978,7129,1978,52002
1977,0,1977,0,1977,0,1977,0,1977,108046,1977,5343,1977,68843,1977,18684,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,66705,1977,6106,1977,6838,1977,51062
1976,0,1976,0,1976,0,1976,0,1976,98111,1976,3978,1976,78612,1976,20975,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,62883,1976,5224,1976,5816,1976,41325
1975,0,1975,0,1975,0,1975,0,1975,127086,1975,3713,1975,75484,1975,35719,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,57615,1975,4894,1975,5414,1975,35870
1974,0,1974,0,1974,0,1974,0,1974,108270,1974,3407,1974,77275,1974,44600,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,58463,1974,4922,1974,4783,1974,36739
1973,0,1973,0,1973,0,1973,0,1973,122622,1973,2973,1973,74774,1973,44172,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,59084,1973,4871,1973,4574,1973,37551
1972,0,1972,0,1972,0,1972,0,1972,106211,1972,3594,1972,70406,1972,17059,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,58735,1972,5079,1972,4782,1972,36857
1971,0,1971,0,1971,0,1971,0,1971,104114,1971,3807,1971,69610,1971,18897,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,54068,1971,5287,1971,4526,1971,34682
1970,0,1970,0,1970,0,1970,0,1970,80092,1970,3806,1970,64580,1970,22668,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,52378,1970,5029,1970,4339,1970,34264
1969,0,1969,0,1969,0,1969,0,1969,78511,1969,3562,1969,63451,1969,30115,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,53345,1969,4893,1969,4389,1969,34698
1968,0,1968,0,1968,0,1968,0,1968,76753,1968,3781,1968,59309,1968,31247,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,52920,1968,4705,1968,4147,1968,33739
1967,0,1967,0,1967,0,1967,0,1967,95334,1967,3786,1967,52243,1967,12815,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,49050,1967,4671,1967,4180,1967,33309
1966,0,1966,0,1966,0,1966,0,1966,72135,1966,3293,1966,54380,1966,16528,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,49102,1966,5035,1966,3679,1966,35169
1965,0,1965,0,1965,0,1965,0,1965,74247,1965,3655,1965,46400,1965,11291,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,47641,1965,4863,1965,3695,1965,35134
1964,0,1964,0,1964,0,1964,0,1964,91651,1964,3374,1964,30182,1964,5872,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,46341,1964,4728,1964,4089,1964,36860
1963,0,1963,0,1963,0,1963,0,1963,66918,1963,3410,1963,30834,1963,5168,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,45764,1963,4383,1963,4028,1963,36729
1962,0,1962,0,1962,0,1962,0,1962,79605,1962,3207,1962,30861,1962,11197,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,45959,1962,4246,1962,3672,1962,36441
1961,0,1961,0,1961,0,1961,0,1961,71851,1961,3168,1961,31246,1961,14854,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,46171,1961,4145,1961,3837,1961,36290
1960,0,1960,0,1960,0,1960,0,1960,67128,1960,3120,1960,32169,1960,10671,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,45681,1960,3681,1960,4013,1960,37433
