"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1995,0,1995,239,1995,174,1995,1920,1995,10030,1995,10261,1995,850742,1995,9990,1995,17,1995,134,1995,370,1995,51,1995,0,1995,0,1995,0,1995,0,1995,0,1995,484,1995,599,1995,0,1995,9119,1995,115362,1995,90131,1995,3580
1994,0,1994,216,1994,153,1994,2463,1994,10715,1994,11823,1994,676477,1994,7742,1994,13,1994,131,1994,373,1994,51,1994,0,1994,0,1994,0,1994,0,1994,0,1994,572,1994,698,1994,0,1994,8340,1994,109892,1994,96294,1994,3552
1993,0,1993,205,1993,133,1993,1942,1993,10116,1993,13539,1993,693923,1993,8866,1993,8,1993,128,1993,374,1993,40,1993,0,1993,0,1993,0,1993,0,1993,0,1993,598,1993,731,1993,0,1993,8114,1993,104802,1993,96463,1993,3727
1992,0,1992,179,1992,116,1992,2347,1992,9530,1992,11273,1992,706614,1992,6230,1992,7,1992,128,1992,372,1992,40,1992,0,1992,0,1992,0,1992,0,1992,0,1992,562,1992,672,1992,0,1992,6477,1992,98100,1992,95374,1992,3762
1991,0,1991,152,1991,96,1991,2365,1991,10986,1991,11271,1991,932377,1991,6543,1991,7,1991,127,1991,363,1991,40,1991,0,1991,0,1991,0,1991,0,1991,0,1991,631,1991,755,1991,0,1991,6317,1991,94517,1991,73889,1991,3605
1990,0,1990,125,1990,77,1990,2004,1990,14199,1990,13621,1990,909829,1990,5289,1990,7,1990,127,1990,364,1990,40,1990,0,1990,0,1990,0,1990,0,1990,0,1990,540,1990,646,1990,0,1990,5278,1990,90442,1990,93429,1990,3441
1989,0,1989,96,1989,56,1989,2238,1989,10927,1989,4421,1989,746181,1989,5859,1989,6,1989,121,1989,354,1989,34,1989,0,1989,0,1989,0,1989,0,1989,0,1989,645,1989,771,1989,0,1989,9085,1989,91271,1989,108226,1989,3544
1988,0,1988,0,1988,0,1988,1799,1988,9074,1988,-1970,1988,707279,1988,6123,1988,0,1988,1,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,684,1988,818,1988,0,1988,12630,1988,79720,1988,127395,1988,3856
1987,0,1987,0,1987,0,1987,1707,1987,10367,1987,8692,1987,727530,1987,8919,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,682,1987,815,1987,0,1987,12765,1987,76446,1987,122457,1987,3635
1986,0,1986,0,1986,0,1986,1793,1986,10910,1986,781,1986,824820,1986,14756,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,624,1986,746,1986,0,1986,12962,1986,82218,1986,117727,1986,6451
1985,0,1985,0,1985,0,1985,1144,1985,9635,1985,8833,1985,804970,1985,10646,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,590,1985,706,1985,0,1985,17254,1985,90532,1985,112047,1985,6890
1984,0,1984,0,1984,0,1984,400,1984,9904,1984,12337,1984,871017,1984,14519,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,551,1984,658,1984,0,1984,16132,1984,90020,1984,110326,1984,6705
1983,0,1983,0,1983,0,1983,0,1983,10583,1983,12725,1983,900136,1983,14663,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,461,1983,551,1983,0,1983,15971,1983,82674,1983,104439,1983,6505
1982,0,1982,0,1982,0,1982,0,1982,8849,1982,9830,1982,916871,1982,10710,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,245,1982,293,1982,0,1982,13818,1982,83417,1982,91109,1982,6047
1981,0,1981,0,1981,0,1981,0,1981,10482,1981,3813,1981,979462,1981,6512,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,74,1981,88,1981,0,1981,14343,1981,75404,1981,94938,1981,5875
1980,0,1980,0,1980,0,1980,0,1980,8449,1980,9264,1980,863361,1980,8533,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,14432,1980,76307,1980,88272,1980,4492
1979,0,1979,0,1979,0,1979,0,1979,9624,1979,15977,1979,823176,1979,8303,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,12716,1979,79204,1979,77454,1979,5332
1978,0,1978,0,1978,0,1978,0,1978,9055,1978,13328,1978,921159,1978,7601,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,11450,1978,73069,1978,81043,1978,4492
1977,0,1977,0,1977,0,1977,0,1977,10001,1977,7448,1977,695150,1977,7898,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,9372,1977,66356,1977,78315,1977,3811
1976,0,1976,0,1976,0,1976,0,1976,11302,1976,9208,1976,979802,1976,11717,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,8023,1976,66836,1976,71386,1976,3257
1975,0,1975,0,1975,0,1975,0,1975,9761,1975,13637,1975,871063,1975,11181,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,6600,1975,53223,1975,64299,1975,2893
1974,0,1974,0,1974,0,1974,0,1974,10352,1974,11328,1974,861367,1974,9828,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,5782,1974,54757,1974,65173,1974,2612
1973,0,1973,0,1973,0,1973,0,1973,11005,1973,13694,1973,717005,1973,11537,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,6143,1973,55520,1973,66238,1973,3145
1972,0,1972,0,1972,0,1972,0,1972,9774,1972,14609,1972,787585,1972,12691,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,6181,1972,55879,1972,66974,1972,2543
1971,0,1971,0,1971,0,1971,0,1971,7778,1971,11771,1971,750108,1971,10312,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,6815,1971,54593,1971,67168,1971,2303
1970,0,1970,0,1970,0,1970,0,1970,8244,1970,7254,1970,729600,1970,7776,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,6472,1970,55458,1970,66521,1970,2303
1969,0,1969,0,1969,0,1969,0,1969,9447,1969,7369,1969,705605,1969,11673,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,6662,1969,56790,1969,67221,1969,2284
1968,0,1968,0,1968,0,1968,0,1968,8214,1968,8157,1968,668963,1968,10575,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,6872,1968,55705,1968,67282,1968,2216
1967,0,1967,0,1967,0,1967,0,1967,8498,1967,8410,1967,614437,1967,11206,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,6669,1967,53364,1967,63608,1967,2060
1966,0,1966,0,1966,0,1966,0,1966,8750,1966,7953,1966,550134,1966,8235,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,6807,1966,56102,1966,67111,1966,1938
1965,0,1965,0,1965,0,1965,0,1965,7464,1965,9234,1965,515280,1965,9545,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,6932,1965,54205,1965,66250,1965,1956
1964,0,1964,0,1964,0,1964,0,1964,6944,1964,8987,1964,492089,1964,8003,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,6556,1964,54594,1964,65254,1964,2148
1963,0,1963,0,1963,0,1963,0,1963,7229,1963,9174,1963,451952,1963,3691,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,6766,1963,55094,1963,62312,1963,2008
1962,0,1962,0,1962,0,1962,0,1962,8431,1962,13334,1962,417596,1962,4148,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,7251,1962,54344,1962,59084,1962,2044
1961,0,1961,0,1961,0,1961,0,1961,8219,1961,12602,1961,397880,1961,2459,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,7149,1961,53854,1961,57882,1961,2132
1960,0,1960,0,1960,0,1960,0,1960,9396,1960,13634,1960,369596,1960,3275,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,7943,1960,56072,1960,58533,1960,2219
