"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2001,479,2001,150,2001,50,2001,639,2001,35461,2001,12663,2001,71778,2001,12403,2001,0,2001,22,2001,50,2001,541,2001,9,2001,0,2001,0,2001,12271,2001,3559,2001,0,2001,6116,2001,0,2001,1804,2001,57739,2001,64355,2001,70681
2000,442,2000,134,2000,43,2000,562,2000,58304,2000,15643,2000,65248,2000,8456,2000,0,2000,23,2000,53,2000,547,2000,0,2000,0,2000,0,2000,5020,2000,2357,2000,0,2000,5501,2000,0,2000,1765,2000,76662,2000,52818,2000,81486
1999,437,1999,134,1999,43,1999,562,1999,68282,1999,17255,1999,79783,1999,11455,1999,0,1999,24,1999,58,1999,569,1999,0,1999,0,1999,0,1999,3272,1999,2212,1999,0,1999,4515,1999,0,1999,1677,1999,79554,1999,50029,1999,78136
1998,386,1998,118,1998,38,1998,516,1998,58710,1998,36397,1998,110189,1998,14529,1998,0,1998,24,1998,61,1998,555,1998,0,1998,0,1998,0,1998,816,1998,2117,1998,0,1998,4792,1998,0,1998,1628,1998,93417,1998,46492,1998,93655
1997,311,1997,114,1997,37,1997,451,1997,92042,1997,30212,1997,112731,1997,18289,1997,0,1997,23,1997,61,1997,494,1997,0,1997,0,1997,0,1997,828,1997,1712,1997,0,1997,4001,1997,0,1997,1855,1997,101635,1997,47262,1997,102604
1996,291,1996,106,1996,34,1996,417,1996,82489,1996,31445,1996,118569,1996,9925,1996,0,1996,16,1996,61,1996,496,1996,0,1996,0,1996,0,1996,854,1996,1875,1996,0,1996,2224,1996,0,1996,2191,1996,100228,1996,55966,1996,98843
1995,248,1995,101,1995,32,1995,370,1995,61974,1995,35650,1995,99290,1995,17565,1995,0,1995,16,1995,61,1995,478,1995,0,1995,0,1995,0,1995,0,1995,1882,1995,0,1995,5319,1995,0,1995,2102,1995,88934,1995,60440,1995,99476
1994,233,1994,94,1994,30,1994,341,1994,52908,1994,31309,1994,124080,1994,15788,1994,0,1994,16,1994,61,1994,464,1994,0,1994,0,1994,0,1994,0,1994,1888,1994,0,1994,5427,1994,0,1994,2057,1994,83212,1994,56614,1994,97504
1993,216,1993,102,1993,33,1993,339,1993,26712,1993,30413,1993,92309,1993,18416,1993,0,1993,16,1993,61,1993,435,1993,0,1993,0,1993,0,1993,0,1993,1201,1993,0,1993,5681,1993,0,1993,2112,1993,79694,1993,55133,1993,98038
1992,197,1992,96,1992,31,1992,307,1992,37355,1992,34237,1992,103534,1992,27284,1992,0,1992,16,1992,61,1992,424,1992,0,1992,0,1992,0,1992,0,1992,1107,1992,0,1992,5223,1992,56,1992,2402,1992,76301,1992,61243,1992,105781
1991,175,1991,89,1991,29,1991,272,1991,39950,1991,32470,1991,113470,1991,23216,1991,0,1991,15,1991,60,1991,419,1991,0,1991,0,1991,0,1991,0,1991,1111,1991,0,1991,5869,1991,63,1991,2324,1991,75092,1991,60931,1991,96362
1990,154,1990,82,1990,26,1990,236,1990,40926,1990,34306,1990,104180,1990,18657,1990,0,1990,15,1990,60,1990,374,1990,0,1990,0,1990,0,1990,0,1990,1115,1990,0,1990,5020,1990,54,1990,2219,1990,71702,1990,56499,1990,95973
1989,130,1989,74,1989,24,1989,198,1989,47805,1989,21296,1989,123649,1989,15034,1989,0,1989,14,1989,58,1989,353,1989,0,1989,0,1989,0,1989,0,1989,1119,1989,0,1989,5993,1989,64,1989,3289,1989,75673,1989,75856,1989,109811
1988,0,1988,0,1988,0,1988,0,1988,54573,1988,7017,1988,47402,1988,12751,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,1123,1988,0,1988,6359,1988,68,1988,3789,1988,75419,1988,95273,1988,96117
1987,0,1987,0,1987,0,1987,0,1987,56119,1987,23016,1987,78827,1987,22482,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,6340,1987,68,1987,3583,1987,72639,1987,90408,1987,94355
1986,0,1986,0,1986,0,1986,0,1986,59917,1986,13223,1986,55630,1986,20603,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,5800,1986,62,1986,4088,1986,76559,1986,95256,1986,89695
1985,0,1985,0,1985,0,1985,0,1985,55711,1985,19169,1985,68316,1985,14636,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,5487,1985,59,1985,4134,1985,47424,1985,93230,1985,78838
