Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1999,93840,1999,4024011,1999,167399,1999,533204,1999,47598,1999,2783212,1999,84399,1999,1199639,1999,10142,1999,1108311,1999,38509,1999,1815367,1999,148444,1999,4026488,1999,159186,1999,430397,1999,50889,1999,1425265,1999,65168,1999,1450436,1999,111261,1999,3227372,1999,98801,1999,1700105
1998,91481,1998,3856606,1998,159820,1998,507513,1998,44517,1998,2672890,1998,79013,1998,1148872,1998,9895,1998,1088848,1998,43807,1998,1725018,1998,147538,1998,4047864,1998,151240,1998,418462,1998,52661,1998,1384577,1998,66413,1998,1428047,1998,108882,1998,3058629,1998,87839,1998,1624327
1997,91180,1997,3944363,1997,179013,1997,504020,1997,47036,1997,2683207,1997,80058,1997,1139792,1997,10349,1997,1101174,1997,48522,1997,1767765,1997,149694,1997,4328538,1997,161828,1997,443177,1997,53175,1997,1386411,1997,72315,1997,1456922,1997,116010,1997,3106640,1997,89951,1997,1653900
1996,83498,1996,3970151,1996,164045,1996,501272,1996,49717,1996,2702821,1996,88728,1996,1152715,1996,11792,1996,1109687,1996,55609,1996,1761014,1996,152597,1996,4240432,1996,167218,1996,458152,1996,66229,1996,1380811,1996,78433,1996,1463140,1996,124237,1996,3105729,1996,85300,1996,1685217
1995,97861,1995,3886599,1995,139475,1995,466129,1995,54693,1995,2621213,1995,84388,1995,1109452,1995,12949,1995,1078398,1995,51655,1995,1741938,1995,152242,1995,4064879,1995,160885,1995,431302,1995,52076,1995,1341801,1995,72548,1995,1436968,1995,109943,1995,3000186,1995,85646,1995,1612469
1994,100880,1994,3773746,1994,106260,1994,452508,1994,51764,1994,2555521,1994,85415,1994,1071231,1994,13084,1994,1111842,1994,57565,1994,1671777,1994,148325,1994,4020890,1994,156736,1994,461886,1994,52990,1994,1323800,1994,73476,1994,1451557,1994,108905,1994,2871299,1994,81517,1994,1522324
1993,98173,1993,3753510,1993,125883,1993,437169,1993,53578,1993,2569179,1993,80903,1993,1039917,1993,13513,1993,1085841,1993,50100,1993,1618620,1993,138255,1993,3883991,1993,158153,1993,452399,1993,49263,1993,1315345,1993,69750,1993,1445182,1993,106055,1993,2847744,1993,78149,1993,1486122
1992,114816,1992,3650581,1992,95136,1992,422133,1992,63036,1992,2459877,1992,80204,1992,976971,1992,14248,1992,1057384,1992,61359,1992,1582211,1992,131568,1992,3817827,1992,159035,1992,449327,1992,46672,1992,1264902,1992,68433,1992,1443841,1992,113219,1992,2850077,1992,72610,1992,1442310
1991,108933,1991,3678496,1991,116219,1991,417097,1991,61906,1991,2471077,1991,76130,1991,985355,1991,14307,1991,1070458,1991,59493,1991,1515784,1991,128100,1991,3708377,1991,157261,1991,435294,1991,41675,1991,1274478,1991,66582,1991,1376472,1991,110847,1991,2800618,1991,65660,1991,1434833
1990,102981,1990,3612494,1990,119701,1990,409001,1990,60812,1990,2488999,1990,74025,1990,949263,1990,13869,1990,1074411,1990,53391,1990,1489868,1990,125516,1990,3704139,1990,151630,1990,430659,1990,50546,1990,1277680,1990,65263,1990,1418231,1990,102166,1990,2866603,1990,60972,1990,1409665
1989,131790,1989,3619229,1989,124844,1989,399732,1989,69984,1989,2517053,1989,77651,1989,940800,1989,17714,1989,1042967,1989,77084,1989,1509038,1989,129814,1989,3759315,1989,154425,1989,478996,1989,55480,1989,1320439,1989,66832,1989,1459706,1989,115859,1989,2845535,1989,64343,1989,1392696
1988,160014,1988,3702319,1988,87409,1988,365706,1988,80134,1988,2484357,1988,111500,1988,978710,1988,21727,1988,1069693,1988,61978,1988,1419083,1988,104615,1988,3601826,1988,118029,1988,484767,1988,46241,1988,1288359,1988,61835,1988,1427362,1988,122565,1988,2812015,1988,61444,1988,1355217
1987,151533,1987,3472023,1987,101447,1987,345498,1987,76758,1987,2380691,1987,107657,1987,906929,1987,20517,1987,1015692,1987,66840,1987,1341279,1987,102199,1987,3564236,1987,116377,1987,433183,1987,47753,1987,1249115,1987,60278,1987,1404906,1987,116158,1987,2639558,1987,60506,1987,1251390
1986,141294,1986,3416921,1986,146356,1986,342134,1986,71973,1986,2262531,1986,99976,1986,901984,1986,21818,1986,974201,1986,68813,1986,1304571,1986,102343,1986,3500802,1986,122771,1986,444354,1986,54649,1986,1182435,1986,69642,1986,1383264,1986,116002,1986,2651892,1986,66440,1986,1245900
1985,130268,1985,3434273,1985,132234,1985,354814,1985,69669,1985,2301292,1985,75925,1985,897903,1985,14844,1985,1011726,1985,73167,1985,1329732,1985,79343,1985,3340207,1985,136042,1985,423461,1985,55151,1985,1160048,1985,65453,1985,1313664,1985,114217,1985,2634458,1985,68755,1985,1258254
1984,124741,1984,3502000,1984,156188,1984,346809,1984,65106,1984,2271002,1984,75557,1984,936823,1984,14676,1984,1016638,1984,77261,1984,1375310,1984,78816,1984,3575817,1984,139329,1984,418276,1984,60086,1984,1192374,1984,65032,1984,1292240,1984,114761,1984,2597220,1984,66022,1984,1251746
1983,126417,1983,3472747,1983,152320,1983,345649,1983,67925,1983,2197757,1983,72089,1983,953081,1983,10707,1983,917190,1983,65792,1983,1276623,1983,74654,1983,3431465,1983,140252,1983,391587,1983,52085,1983,1120386,1983,78596,1983,1231961,1983,122339,1983,2521430,1983,62679,1983,1190390
1982,108434,1982,3394044,1982,137262,1982,350310,1982,59095,1982,2177454,1982,66907,1982,969163,1982,10392,1982,944960,1982,69516,1982,1262083,1982,69667,1982,3637354,1982,126910,1982,426436,1982,51599,1982,1102129,1982,66642,1982,1234902,1982,109127,1982,2525049,1982,58968,1982,1187287
1981,100323,1981,3547208,1981,115694,1981,361884,1981,59181,1981,2359274,1981,64176,1981,968673,1981,8483,1981,947309,1981,55159,1981,1297313,1981,68263,1981,3961906,1981,129795,1981,380501,1981,45447,1981,1140938,1981,73207,1981,1215717,1981,108871,1981,2673062,1981,56622,1981,1176563
1980,92366,1980,3768260,1980,113407,1980,347655,1980,56145,1980,2400197,1980,58556,1980,983303,1980,9088,1980,1022129,1980,55822,1980,1367982,1980,64707,1980,3908929,1980,121124,1980,381550,1980,45823,1980,1156510,1980,72495,1980,1246693,1980,103039,1980,2824417,1980,54794,1980,1224226
1979,64626,1979,4049381,1979,113729,1979,384011,1979,51858,1979,2585762,1979,18947,1979,1038993,1979,7928,1979,1132093,1979,82531,1979,1432637,1979,44717,1979,4044689,1979,76896,1979,363580,1979,66329,1979,1219177,1979,74298,1979,1308451,1979,73877,1979,2923445,1979,53947,1979,1350455
1978,62925,1978,4199421,1978,119334,1978,369908,1978,45814,1978,2535537,1978,19287,1978,962094,1978,7540,1978,1037084,1978,70514,1978,1400112,1978,47825,1978,4095231,1978,74889,1978,384636,1978,59254,1978,1154687,1978,67677,1978,1471615,1978,66270,1978,2942354,1978,50237,1978,1350594
1977,51314,1977,4099481,1977,85968,1977,366421,1977,38768,1977,2485596,1977,17088,1977,979937,1977,6852,1977,981082,1977,64140,1977,1414018,1977,46692,1977,3936486,1977,72689,1977,396866,1977,59569,1977,1129827,1977,63357,1977,1486580,1977,54719,1977,2873174,1977,36725,1977,1257346
1976,47471,1976,4019369,1976,121380,1976,362198,1976,36021,1976,2410240,1976,15187,1976,979112,1976,6526,1976,972467,1976,68110,1976,1400423,1976,45170,1976,3535790,1976,70099,1976,380599,1976,56373,1976,1148110,1976,60502,1976,1499176,1976,52481,1976,2983999,1976,35632,1976,1293627
1975,42898,1975,3860591,1975,118011,1975,358858,1975,31342,1975,2377767,1975,17029,1975,942050,1975,5811,1975,924911,1975,66857,1975,1278425,1975,42358,1975,3107626,1975,60423,1975,324651,1975,55834,1975,1069386,1975,53325,1975,1420313,1975,47458,1975,2865742,1975,36949,1975,1246041
