Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2004,293280,2004,2065880,2004,18876,2004,775019,2004,82474,2004,1404379,2004,112971,2004,1091797,2004,768991,2004,8216696,2004,29099,2004,1399562,2004,42965,2004,907100,2004,1436,2004,289192,2004,943,2004,201417,2004,179495,2004,4347431,2004,226761,2004,3097207,2004,13787,2004,314719
2003,284732,2003,1952741,2003,19607,2003,733471,2003,84202,2003,1354531,2003,107933,2003,1100644,2003,768677,2003,7848432,2003,28795,2003,1372163,2003,32973,2003,894334,2003,1402,2003,303732,2003,926,2003,193758,2003,188488,2003,4195567,2003,221675,2003,2956845,2003,13319,2003,300914
2002,253609,2002,1960152,2002,18269,2002,732909,2002,88046,2002,1334303,2002,108652,2002,1118366,2002,684616,2002,7963233,2002,27044,2002,1370535,2002,28612,2002,815224,2002,1315,2002,308594,2002,881,2002,197752,2002,174380,2002,4177962,2002,283715,2002,2936048,2002,10463,2002,284662
2001,252841,2001,1898857,2001,17446,2001,735745,2001,92536,2001,1341725,2001,94022,2001,1096056,2001,615260,2001,7918527,2001,30472,2001,1369867,2001,29919,2001,829136,2001,1325,2001,292032,2001,866,2001,193476,2001,158138,2001,4060590,2001,192068,2001,2818753,2001,12396,2001,270121
2000,263303,2000,2093922,2000,12375,2000,742061,2000,102228,2000,1332442,2000,108634,2000,1141593,2000,741708,2000,7893213,2000,31999,2000,1268642,2000,50913,2000,844550,2000,2290,2000,305695,2000,1354,2000,198048,2000,195106,2000,4076022,2000,222186,2000,2920928,2000,20386,2000,273307
1999,290232,1999,2040647,1999,10605,1999,725331,1999,116145,1999,1285004,1999,110822,1999,1100812,1999,764517,1999,7801839,1999,32395,1999,1206092,1999,49593,1999,834267,1999,2001,1999,286222,1999,1259,1999,191690,1999,204197,1999,3922071,1999,231115,1999,2803980,1999,21767,1999,269352
1998,317349,1998,1997696,1998,13638,1998,723206,1998,128116,1998,1240977,1998,114927,1998,1081796,1998,838207,1998,7806353,1998,31402,1998,1184705,1998,49471,1998,791157,1998,1936,1998,272892,1998,1222,1998,186974,1998,205607,1998,3859240,1998,256573,1998,2783049,1998,21657,1998,273387
1997,300020,1997,1956297,1997,15583,1997,708741,1997,143511,1997,1187416,1997,124045,1997,1061415,1997,767380,1997,7528234,1997,38515,1997,1138201,1997,51004,1997,811129,1997,2203,1997,274786,1997,1378,1997,191092,1997,231427,1997,3726429,1997,262479,1997,2744916,1997,22502,1997,273483
1996,323721,1996,1984926,1996,21915,1996,718749,1996,114081,1996,1163696,1996,118019,1996,1042511,1996,824947,1996,7405341,1996,35801,1996,1142176,1996,56334,1996,820990,1996,2642,1996,273242,1996,1922,1996,193511,1996,240413,1996,3700617,1996,256860,1996,2767321,1996,24088,1996,283060
1995,322116,1995,1955073,1995,23142,1995,704062,1995,106203,1995,1095057,1995,117506,1995,1023242,1995,854526,1995,7295592,1995,36531,1995,1091927,1995,46227,1995,782296,1995,2476,1995,262936,1995,1851,1995,196284,1995,220410,1995,3615069,1995,249128,1995,2607462,1995,24608,1995,296774
1994,334002,1994,1879952,1994,23590,1994,623042,1994,94235,1994,1056612,1994,119609,1994,971500,1994,635982,1994,7273001,1994,29288,1994,1065404,1994,40824,1994,800069,1994,2422,1994,261444,1994,1849,1994,193593,1994,215930,1994,3467465,1994,240939,1994,2423951,1994,25405,1994,299033
1993,269514,1993,1789235,1993,20551,1993,623613,1993,86942,1993,1000843,1993,133803,1993,939962,1993,822390,1993,7138310,1993,33636,1993,1062928,1993,39678,1993,795996,1993,2492,1993,266225,1993,1946,1993,198476,1993,217481,1993,3346956,1993,240389,1993,2403877,1993,27829,1993,282651
1992,257599,1992,1742421,1992,18300,1992,627237,1992,87528,1992,985332,1992,112813,1992,865939,1992,642475,1992,7307644,1992,28988,1992,995693,1992,39390,1992,810197,1992,1784,1992,261314,1992,1412,1992,191482,1992,231574,1992,3316472,1992,234696,1992,2250675,1992,26800,1992,306030
1991,257202,1991,1675029,1991,17357,1991,602660,1991,88774,1991,955235,1991,110143,1991,837103,1991,658107,1991,7326350,1991,32617,1991,994850,1991,35008,1991,776710,1991,1734,1991,255250,1991,1347,1991,191358,1991,213746,1991,3249677,1991,227699,1991,2205008,1991,27516,1991,295150
1990,253287,1990,1659374,1990,18357,1990,584082,1990,94753,1990,950195,1990,110505,1990,849198,1990,672960,1990,7439345,1990,27106,1990,944300,1990,34712,1990,775896,1990,1653,1990,251796,1990,1283,1990,185266,1990,199621,1990,3289151,1990,236225,1990,2216211,1990,27937,1990,321420
1989,304351,1989,1683173,1989,18342,1989,576192,1989,101498,1989,943115,1989,119759,1989,882855,1989,742268,1989,7420327,1989,30873,1989,915127,1989,36042,1989,811311,1989,2516,1989,241618,1989,2515,1989,180533,1989,233039,1989,3248530,1989,218604,1989,2219567,1989,28875,1989,309767
1988,216597,1988,1651726,1988,12761,1988,521398,1988,98749,1988,906415,1988,92546,1988,817720,1988,515854,1988,7143783,1988,32649,1988,899364,1988,34409,1988,795471,1988,2310,1988,234133,1988,2382,1988,174976,1988,114445,1988,3042056,1988,138748,1988,2138263,1988,20427,1988,289691
1987,233511,1987,1582639,1987,12004,1987,499211,1987,123114,1987,865824,1987,86688,1987,736170,1987,524440,1987,6938475,1987,32433,1987,866162,1987,30809,1987,763522,1987,2162,1987,227480,1987,2229,1987,174233,1987,108785,1987,2870556,1987,146038,1987,2049053,1987,18834,1987,249461
1986,215783,1986,1504733,1986,10707,1986,504252,1986,175103,1986,852973,1986,91234,1986,759564,1986,668070,1986,6501121,1986,44294,1986,859444,1986,35551,1986,739744,1986,2765,1986,217072,1986,3049,1986,174696,1986,118872,1986,2781956,1986,141713,1986,1953662,1986,17315,1986,245329
1985,248632,1985,1519675,1985,11783,1985,474429,1985,171680,1985,843102,1985,109251,1985,789513,1985,594659,1985,6601489,1985,43210,1985,869749,1985,40389,1985,723070,1985,3019,1985,214953,1985,3327,1985,165934,1985,114488,1985,2698976,1985,146207,1985,1931023,1985,15307,1985,248554
1984,288127,1984,1544598,1984,11152,1984,482889,1984,188831,1984,802626,1984,91646,1984,799005,1984,696738,1984,6533180,1984,39837,1984,867717,1984,41112,1984,715073,1984,2927,1984,220487,1984,3226,1984,167024,1984,112695,1984,2551259,1984,159451,1984,1875179,1984,15372,1984,232426
1983,282179,1983,1445946,1983,9591,1983,437627,1983,175999,1983,758000,1983,95412,1983,796587,1983,811004,1983,6092316,1983,35857,1983,831430,1983,48199,1983,688418,1983,2224,1983,197917,1983,2564,1983,162575,1983,94585,1983,2457345,1983,151110,1983,1749228,1983,14920,1983,221150
1982,265548,1982,1499050,1982,8745,1982,409057,1982,94968,1982,746494,1982,77652,1982,792462,1982,702806,1982,6076050,1982,32043,1982,833092,1982,41481,1982,696739,1982,3170,1982,186552,1982,3654,1982,163811,1982,105523,1982,2402137,1982,143871,1982,1679709,1982,13382,1982,218095
1981,213355,1981,1604035,1981,9216,1981,279661,1981,92583,1981,787920,1981,68248,1981,821800,1981,503653,1981,6332205,1981,28752,1981,816311,1981,42958,1981,695795,1981,2006,1981,195218,1981,2312,1981,149271,1981,83698,1981,2482043,1981,122747,1981,1694324,1981,13585,1981,236718
1980,238766,1980,1644874,1980,8321,1980,295745,1980,120006,1980,754491,1980,69996,1980,859238,1980,591928,1980,6540472,1980,28582,1980,838088,1980,43748,1980,728226,1980,2472,1980,242340,1980,2849,1980,153262,1980,90049,1980,2511917,1980,144038,1980,1717236,1980,12808,1980,262347
1979,190737,1979,1648767,1979,10733,1979,299774,1979,83414,1979,786479,1979,80773,1979,872687,1979,559806,1979,6727621,1979,33170,1979,856031,1979,29359,1979,755692,1979,8729,1979,244675,1979,210,1979,152431,1979,69419,1979,2422499,1979,149144,1979,1729590,1979,1258,1979,256604
