Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2005,54637,2005,1982290,2005,62951,2005,1175656,2005,114898,2005,422087,2005,51713,2005,704826,2005,38193,2005,704990,2005,42485,2005,326092,2005,29341,2005,2659566,2005,23592,2005,685556,2005,374257,2005,4153199,2005,147480,2005,2702237,2005,22847,2005,409142,2005,73750,2005,4081428
2004,44121,2004,1894079,2004,61297,2004,1209335,2004,101639,2004,401702,2004,52142,2004,697628,2004,38003,2004,685415,2004,34926,2004,332093,2004,27617,2004,2564633,2004,11715,2004,685076,2004,383435,2004,4261834,2004,147627,2004,2668617,2004,24137,2004,404459,2004,66807,2004,4054623
2003,34678,2003,1883450,2003,45369,2003,1206235,2003,100455,2003,379721,2003,45556,2003,685709,2003,37159,2003,652215,2003,29851,2003,325619,2003,26816,2003,2520182,2003,8743,2003,661104,2003,359376,2003,4163545,2003,188855,2003,2594352,2003,24205,2003,400838,2003,63646,2003,4020593
2002,37858,2002,1878573,2002,49669,2002,1174307,2002,108732,2002,381613,2002,44226,2002,675942,2002,42486,2002,626631,2002,28898,2002,316339,2002,28799,2002,2491243,2002,8188,2002,659860,2002,364411,2002,4031388,2002,130792,2002,2575450,2002,21759,2002,401218,2002,55136,2002,3954608
2001,33141,2001,1864062,2001,56103,2001,1132667,2001,80654,2001,357848,2001,43413,2001,664390,2001,46006,2001,632924,2001,30187,2001,306523,2001,30097,2001,2458361,2001,7911,2001,661741,2001,351195,2001,4021811,2001,131872,2001,2551460,2001,19505,2001,407370,2001,68387,2001,4010965
2000,23293,2000,1831457,2000,75389,2000,1245835,2000,113793,2000,410631,2000,43687,2000,667989,2000,47128,2000,625647,2000,38620,2000,309761,2000,41091,2000,2483350,2000,10611,2000,662696,2000,430513,2000,4138666,2000,139510,2000,2612315,2000,26151,2000,381565,2000,98927,2000,4273427
1999,33906,1999,1890358,1999,65132,1999,1238413,1999,157020,1999,395931,1999,44610,1999,664584,1999,51186,1999,606178,1999,38906,1999,292260,1999,40544,1999,2574684,1999,10226,1999,640158,1999,420327,1999,4061178,1999,142632,1999,2494294,1999,30685,1999,375585,1999,93555,1999,4245853
1998,38053,1998,1849558,1998,64175,1998,1141236,1998,128284,1998,391347,1998,42665,1998,674687,1998,54335,1998,583779,1998,40585,1998,282000,1998,39614,1998,2459982,1998,10043,1998,636391,1998,460180,1998,3939103,1998,163009,1998,2474626,1998,27325,1998,347752,1998,85953,1998,4080012
1997,31332,1997,1802761,1997,84291,1997,1148411,1997,153272,1997,367605,1997,41932,1997,658015,1997,48280,1997,565909,1997,42282,1997,279217,1997,40288,1997,2502225,1997,9762,1997,644523,1997,493002,1997,4013224,1997,167585,1997,2428449,1997,37662,1997,359732,1997,86935,1997,4180825
1996,31818,1996,1804740,1996,85759,1996,1148611,1996,158531,1996,397805,1996,38423,1996,644490,1996,43110,1996,560931,1996,47633,1996,279664,1996,42111,1996,2488069,1996,8595,1996,605377,1996,441204,1996,3940340,1996,174111,1996,2449409,1996,36101,1996,353238,1996,85997,1996,4196129
